 j b k| | Nmumu |  Nee  | Nb/0b | stat  |MC stat| ttz SF| syst+ | syst- | sysKin| sysPur
 1 0 4| |   1136|    908| 1.0000| 0.0000| 0.0000| 0.0000| 0.0000| 0.0000| 0.0000| 0.0112
 1 0 5| |     93|     67| 1.0000| 0.0000| 0.0000| 0.0000| 0.0000| 0.0000| 0.0000| 0.0112
 1 0 6| |    202|    187| 1.0000| 0.0000| 0.0000| 0.0000| 0.0000| 0.0000| 0.0000| 0.0112
 1 0 7| |     26|     24| 1.0000| 0.0000| 0.0000| 0.0000| 0.0000| 0.0000| 0.0000| 0.0112
 1 0 8| |     43|     30| 1.0000| 0.0000| 0.0000| 0.0000| 0.0000| 0.0000| 0.0000| 0.0112
 1 0 9| |      2|      4| 1.0000| 0.0000| 0.0000| 0.0000| 0.0000| 0.0000| 0.0000| 0.0112
 1 1 0| |    377|    222| 0.2044| 0.0252| 0.0000| 0.0000| 0.0000| 0.0000| 0.1500| 0.0141
 1 1 1| |     99|     78| 0.2138| 0.0252| 0.0000| 0.0000| 0.0000| 0.0000| 0.1500| 0.0141
 1 1 2| |      7|      9| 0.2186| 0.0252| 0.0000| 0.0000| 0.0000| 0.0000| 0.1500| 0.0141
 1 1 3| |    293|    221| 0.2039| 0.0252| 0.0000| 0.0000| 0.0000| 0.0000| 0.1500| 0.0141
 1 1 4| |    256|    205| 0.2124| 0.0252| 0.0000| 0.0000| 0.0000| 0.0000| 0.1500| 0.0141
 1 1 5| |     21|     28| 0.2182| 0.0252| 0.0000| 0.0000| 0.0000| 0.0000| 0.1500| 0.0141
 1 1 6| |     37|     34| 0.2088| 0.0252| 0.0000| 0.0000| 0.0000| 0.0000| 0.1500| 0.0141
 1 1 7| |      4|      9| 0.2164| 0.0252| 0.0000| 0.0000| 0.0000| 0.0000| 0.1500| 0.0141
 1 1 8| |      8|      4| 0.2069| 0.0252| 0.0000| 0.0000| 0.0000| 0.0000| 0.1500| 0.0141
 1 1 9| |      0|      0| 0.2169| 0.0252| 0.0000| 0.0000| 0.0000| 0.0000| 0.1500| 0.0141
 1 2 0| |     62|     47| 0.0336| 0.0549| 0.0000| 0.0000| 0.0000| 0.0000| 0.1500| 0.0319
 1 2 1| |     20|     14| 0.0364| 0.0549| 0.0000| 0.0000| 0.0000| 0.0000| 0.1500| 0.0319
 1 2 2| |      1|      2| 0.0379| 0.0549| 0.0000| 0.0000| 0.0000| 0.0000| 0.1500| 0.0319
 1 2 3| |     55|     38| 0.0334| 0.0549| 0.0000| 0.0000| 0.0000| 0.0000| 0.1500| 0.0319
 1 2 4| |     45|     42| 0.0360| 0.0549| 0.0000| 0.0000| 0.0000| 0.0000| 0.1500| 0.0319
 1 2 5| |      5|      5| 0.0377| 0.0549| 0.0000| 0.0000| 0.0000| 0.0000| 0.1500| 0.0319
 1 2 6| |      3|      3| 0.0349| 0.0549| 0.0000| 0.0000| 0.0000| 0.0000| 0.1500| 0.0319
 1 2 7| |      0|      1| 0.0372| 0.0549| 0.0000| 0.0000| 0.0000| 0.0000| 0.1500| 0.0319
